epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5461,2.34231,3.62249,1.8024,0.01141,0.50096,0.09423,0.03506,2.17328,3.54604,1.72045,8.574e-05,8.574e-05,8.574e-05
2,61.6948,2.14805,2.99518,1.48509,0.01826,0.81437,0.24834,0.10482,1.84292,3.32206,1.34577,0.000182092,0.000182092,0.000182092
3,91.3628,2.03251,2.21093,1.40754,0.01841,0.80688,0.23586,0.0839,1.74084,3.16704,1.31345,0.000274482,0.000274482,0.000274482
4,121.926,1.91126,2.03266,1.3844,0.01674,0.73475,0.21328,0.09442,1.70459,3.22348,1.38651,0.000362912,0.000362912,0.000362912
5,152.416,1.83429,1.99988,1.30551,0.14802,0.18391,0.24938,0.09033,1.73092,2.77883,1.30216,0.00044738,0.00044738,0.00044738
6,182.833,1.85185,1.89433,1.36404,0.43061,0.2038,0.34882,0.1375,1.77275,2.72531,1.42145,0.000527887,0.000527887,0.000527887
7,213.1,1.78719,1.84973,1.32364,0.53929,0.16638,0.38105,0.19063,1.61512,2.60903,1.30391,0.000604433,0.000604433,0.000604433
8,243.815,1.73641,1.77904,1.30309,0.53274,0.18508,0.41607,0.20277,1.64133,2.56633,1.31007,0.000677017,0.000677017,0.000677017
9,274.427,1.70488,1.77765,1.27322,0.46786,0.40538,0.49417,0.24891,1.73645,2.33073,1.31714,0.000745641,0.000745641,0.000745641
10,305.318,1.6043,1.69551,1.26194,0.50098,0.30679,0.48642,0.25264,1.64955,2.39841,1.32862,0.000810303,0.000810303,0.000810303
11,336.196,1.67236,1.65591,1.26588,0.58117,0.52233,0.56316,0.32408,1.50681,2.12971,1.24505,0.000871004,0.000871004,0.000871004
12,366.902,1.60707,1.61597,1.23441,0.57847,0.56112,0.61979,0.33202,1.54649,1.99815,1.21977,0.000927744,0.000927744,0.000927744
13,397.586,1.59407,1.63767,1.22685,0.56887,0.56583,0.57892,0.2985,1.56294,1.99242,1.2369,0.000980523,0.000980523,0.000980523
14,428.564,1.58215,1.55944,1.23831,0.59102,0.63793,0.57843,0.29576,1.51532,1.93206,1.2801,0.00102934,0.00102934,0.00102934
15,459.094,1.62285,1.54864,1.24553,0.70282,0.66524,0.67185,0.34494,1.52559,1.70405,1.26487,0.00103288,0.00103288,0.00103288
16,489.878,1.52115,1.48902,1.22556,0.66286,0.68936,0.73113,0.42238,1.45327,1.66024,1.21069,0.00100459,0.00100459,0.00100459
17,520.878,1.56669,1.53085,1.20833,0.65631,0.69273,0.73059,0.43207,1.39969,1.61927,1.19406,0.000976293,0.000976293,0.000976293
18,551.694,1.51804,1.48849,1.19846,0.61677,0.68684,0.734,0.42403,1.41864,1.5879,1.20647,0.000947999,0.000947999,0.000947999
19,582.824,1.51467,1.49546,1.21512,0.63532,0.65224,0.71875,0.41482,1.41112,1.5267,1.20336,0.000919704,0.000919704,0.000919704
20,613.715,1.50997,1.48575,1.19421,0.59163,0.74132,0.63304,0.35743,1.41597,1.49236,1.22093,0.00089141,0.00089141,0.00089141
21,644.479,1.47135,1.39389,1.20491,0.66161,0.77516,0.69619,0.39719,1.36037,1.42784,1.18589,0.000863116,0.000863116,0.000863116
22,675.811,1.47725,1.47114,1.19543,0.66586,0.72141,0.75691,0.46404,1.29231,1.41216,1.15393,0.000834822,0.000834822,0.000834822
23,706.864,1.47711,1.41394,1.18616,0.69776,0.75534,0.73075,0.44635,1.30364,1.36101,1.17332,0.000806528,0.000806528,0.000806528
24,738.035,1.39524,1.40332,1.17817,0.76491,0.731,0.76924,0.4897,1.1987,1.31186,1.13034,0.000778233,0.000778233,0.000778233
25,768.972,1.39301,1.37193,1.16493,0.74224,0.76943,0.75048,0.4816,1.20628,1.31011,1.1357,0.000749939,0.000749939,0.000749939
26,800.193,1.36679,1.34036,1.13998,0.71332,0.74824,0.71147,0.41833,1.32282,1.34422,1.19061,0.000721645,0.000721645,0.000721645
27,831.519,1.39287,1.32329,1.168,0.71294,0.74853,0.72567,0.45064,1.26035,1.27342,1.13921,0.000693351,0.000693351,0.000693351
28,862.869,1.37658,1.33924,1.14752,0.654,0.8004,0.75971,0.48152,1.22137,1.24552,1.12839,0.000665057,0.000665057,0.000665057
29,894.016,1.29498,1.24107,1.10183,0.61113,0.79632,0.7457,0.46527,1.22104,1.27385,1.12452,0.000636762,0.000636762,0.000636762
30,925.114,1.30054,1.24086,1.11127,0.60073,0.78873,0.7528,0.48762,1.16205,1.34058,1.10539,0.000608468,0.000608468,0.000608468
31,955.899,1.36925,1.34721,1.15191,0.67477,0.69392,0.73894,0.45479,1.17642,1.31229,1.12016,0.000580174,0.000580174,0.000580174
32,986.764,1.3473,1.27118,1.12155,0.61217,0.77927,0.72786,0.45691,1.16618,1.26605,1.12517,0.00055188,0.00055188,0.00055188
33,1017.75,1.28298,1.22117,1.11067,0.70165,0.68796,0.73228,0.47206,1.13783,1.24031,1.11181,0.000523586,0.000523586,0.000523586
34,1048.63,1.30336,1.3458,1.13518,0.70268,0.74612,0.74911,0.4932,1.14288,1.22038,1.11026,0.000495291,0.000495291,0.000495291
35,1079.45,1.31879,1.27506,1.13686,0.73199,0.74952,0.76322,0.49364,1.16304,1.2348,1.11539,0.000466997,0.000466997,0.000466997
36,1110.7,1.31952,1.24114,1.12149,0.68158,0.79952,0.74352,0.4543,1.21622,1.22822,1.14433,0.000438703,0.000438703,0.000438703
37,1141.56,1.26093,1.19713,1.10939,0.69448,0.8084,0.73822,0.45708,1.18809,1.19819,1.13526,0.000410409,0.000410409,0.000410409
38,1172.31,1.20357,1.20156,1.10116,0.74928,0.77725,0.78079,0.508,1.115,1.11531,1.1066,0.000382115,0.000382115,0.000382115
39,1203.29,1.2944,1.2086,1.12381,0.7513,0.79465,0.7766,0.52797,1.08,1.09634,1.10097,0.00035382,0.00035382,0.00035382
40,2268.52,1.2029,1.15425,1.09422,0.75525,0.80892,0.78649,0.52243,1.07122,1.09672,1.10759,0.000325526,0.000325526,0.000325526
41,2296.08,1.24659,1.45809,1.11679,0.76479,0.80058,0.78887,0.5222,1.06291,1.093,1.0995,0.000297232,0.000297232,0.000297232
42,2323.21,1.24267,1.39809,1.10202,0.76735,0.75356,0.79066,0.5408,1.06595,1.09428,1.09987,0.000268938,0.000268938,0.000268938
43,2351.66,1.16682,1.2846,1.08615,0.75203,0.79792,0.78173,0.53296,1.11308,1.15477,1.11654,0.000240644,0.000240644,0.000240644
44,2380.47,1.21613,1.35086,1.09733,0.74205,0.81455,0.7836,0.53467,1.09465,1.14752,1.11113,0.000212349,0.000212349,0.000212349
45,2409.7,1.18514,1.24002,1.07879,0.71764,0.8354,0.77882,0.53066,1.08235,1.13968,1.1078,0.000184055,0.000184055,0.000184055
46,2438.8,1.1583,1.19453,1.07344,0.71709,0.8335,0.77152,0.5249,1.07346,1.13894,1.11149,0.000155761,0.000155761,0.000155761
47,2468.02,1.15042,1.19882,1.05403,0.7208,0.83953,0.77655,0.52695,1.05512,1.1254,1.10853,0.000127467,0.000127467,0.000127467
48,2497.45,1.11988,1.17656,1.0739,0.7224,0.84321,0.78634,0.53683,1.04406,1.10295,1.10256,9.91726e-05,9.91726e-05,9.91726e-05
49,2527.17,1.11989,1.15759,1.05407,0.72833,0.83123,0.78697,0.53977,1.04022,1.0953,1.09765,7.08784e-05,7.08784e-05,7.08784e-05
50,2557.02,1.08521,1.15943,1.05647,0.72979,0.81274,0.78606,0.54204,1.03137,1.08157,1.08869,4.25842e-05,4.25842e-05,4.25842e-05
